scenario,time_min,tumor_cell_count,cumulative_phagocytosis_events,mean_ecm_density
baseline,0.5,25,0,0.44205
baseline,1.0,25,0,0.44183
baseline,1.5,25,0,0.44161
baseline,2.0,25,0,0.44139
baseline,2.5,26,0,0.44117
baseline,3.0,26,0,0.44095
baseline,3.5,26,0,0.44073
baseline,4.0,26,0,0.44051
baseline,4.5,26,0,0.44029
baseline,5.0,26,0,0.44007
baseline,5.5,27,0,0.43985
baseline,6.0,27,0,0.43963
baseline,6.5,28,0,0.43941
baseline,7.0,28,0,0.43919
baseline,7.5,28,1,0.43897
baseline,8.0,29,1,0.43875
baseline,8.5,30,1,0.43853
baseline,9.0,30,1,0.43831
baseline,9.5,30,1,0.43809
baseline,10.0,30,1,0.43787
baseline,10.5,29,2,0.43765
baseline,11.0,28,3,0.43743
baseline,11.5,27,4,0.43721
baseline,12.0,27,4,0.437
baseline,12.5,27,4,0.43678
baseline,13.0,26,5,0.43656
baseline,13.5,26,5,0.43634
baseline,14.0,27,5,0.43612
baseline,14.5,26,6,0.4359
baseline,15.0,27,6,0.43569
baseline,15.5,26,7,0.43547
baseline,16.0,26,7,0.43525
baseline,16.5,27,7,0.43503
baseline,17.0,27,7,0.43482
baseline,17.5,30,7,0.4346
baseline,18.0,30,7,0.43438
baseline,18.5,30,8,0.43416
baseline,19,29,9,0.43395
baseline,19.5,29,9,0.43373
baseline,20.0,28,10,0.43351
baseline,20.5,27,11,0.4333
baseline,21.0,27,11,0.43308
baseline,21.5,28,11,0.43286
baseline,22.0,29,11,0.43265
baseline,22.5,29,11,0.43243
baseline,23.0,29,12,0.43221
baseline,23.5,29,12,0.432
baseline,24.0,28,13,0.43178
baseline,24.5,28,14,0.43157
baseline,25.0,28,14,0.43135
baseline,25.5,28,14,0.43114
baseline,26.0,29,15,0.43092
baseline,26.5,30,15,0.4307
baseline,27.0,30,15,0.43049
baseline,27.5,28,17,0.43027
baseline,28.0,28,17,0.43006
baseline,28.5,30,17,0.42984
baseline,29.0,28,19,0.42963
baseline,29.5,27,20,0.42941
baseline,30.0,26,21,0.4292
baseline,30.5,26,21,0.42898
baseline,31.0,26,21,0.42877
baseline,31.5,25,22,0.42856
baseline,32.0,27,22,0.42834
baseline,32.5,26,23,0.42813
baseline,33.0,27,23,0.42791
baseline,33.5,26,24,0.4277
baseline,34.0,28,25,0.42749
baseline,34.5,27,26,0.42727
baseline,35.0,27,27,0.42706
baseline,35.5,28,27,0.42685
baseline,36.0,28,27,0.42663
baseline,36.5,28,27,0.42642
baseline,37.0,28,27,0.42621
baseline,37.5,28,27,0.42599
baseline,38.0,29,27,0.42578
baseline,38.5,28,29,0.42557
baseline,39.0,29,29,0.42535
baseline,39.5,29,30,0.42514
baseline,40.0,28,31,0.42493
HER2_low,0.5,25,0,0.44205
HER2_low,1.0,25,0,0.44183
HER2_low,1.5,25,0,0.44161
HER2_low,2.0,25,0,0.44139
HER2_low,2.5,26,0,0.44117
HER2_low,3.0,26,0,0.44095
HER2_low,3.5,26,0,0.44073
HER2_low,4.0,26,0,0.44051
HER2_low,4.5,26,0,0.44029
HER2_low,5.0,26,0,0.44007
HER2_low,5.5,27,0,0.43985
HER2_low,6.0,27,0,0.43963
HER2_low,6.5,28,0,0.43941
HER2_low,7.0,28,0,0.43919
HER2_low,7.5,28,1,0.43897
HER2_low,8.0,29,1,0.43875
HER2_low,8.5,30,1,0.43853
HER2_low,9.0,30,1,0.43831
HER2_low,9.5,30,1,0.43809
HER2_low,10.0,30,1,0.43787
HER2_low,10.5,30,1,0.43765
HER2_low,11.0,29,2,0.43743
HER2_low,11.5,28,3,0.43721
HER2_low,12.0,28,3,0.437
HER2_low,12.5,28,3,0.43678
HER2_low,13.0,27,4,0.43656
HER2_low,13.5,28,4,0.43634
HER2_low,14.0,28,4,0.43612
HER2_low,14.5,28,4,0.4359
HER2_low,15.0,26,6,0.43569
HER2_low,15.5,26,6,0.43547
HER2_low,16.0,26,6,0.43525
HER2_low,16.5,27,6,0.43503
HER2_low,17.0,28,6,0.43482
HER2_low,17.5,28,7,0.4346
HER2_low,18.0,29,7,0.43438
HER2_low,18.5,30,7,0.43416
HER2_low,19,30,7,0.43395
HER2_low,19.5,31,7,0.43373
HER2_low,20.0,32,7,0.43351
HER2_low,20.5,32,7,0.4333
HER2_low,21.0,31,8,0.43308
HER2_low,21.5,29,10,0.43286
HER2_low,22.0,30,10,0.43265
HER2_low,22.5,30,10,0.43243
HER2_low,23.0,30,10,0.43221
HER2_low,23.5,29,11,0.432
HER2_low,24.0,29,11,0.43178
HER2_low,24.5,28,12,0.43157
HER2_low,25.0,28,12,0.43135
HER2_low,25.5,29,13,0.43114
HER2_low,26.0,29,13,0.43092
HER2_low,26.5,29,13,0.4307
HER2_low,27.0,29,13,0.43049
HER2_low,27.5,27,15,0.43027
HER2_low,28.0,27,16,0.43006
HER2_low,28.5,28,16,0.42984
HER2_low,29.0,27,17,0.42963
HER2_low,29.5,27,17,0.42941
HER2_low,30.0,27,18,0.4292
HER2_low,30.5,27,18,0.42898
HER2_low,31.0,27,18,0.42877
HER2_low,31.5,29,18,0.42856
HER2_low,32.0,27,20,0.42834
HER2_low,32.5,27,21,0.42813
HER2_low,33.0,27,21,0.42791
HER2_low,33.5,28,21,0.4277
HER2_low,34.0,28,21,0.42749
HER2_low,34.5,28,21,0.42727
HER2_low,35.0,27,23,0.42706
HER2_low,35.5,26,24,0.42685
HER2_low,36.0,25,25,0.42663
HER2_low,36.5,25,25,0.42642
HER2_low,37.0,25,25,0.42621
HER2_low,37.5,25,25,0.42599
HER2_low,38.0,25,25,0.42578
HER2_low,38.5,26,25,0.42557
HER2_low,39.0,27,26,0.42535
HER2_low,39.5,26,28,0.42514
HER2_low,40.0,26,28,0.42493
no_CD47_block,0.5,25,0,0.44205
no_CD47_block,1.0,25,0,0.44183
no_CD47_block,1.5,25,0,0.44161
no_CD47_block,2.0,25,0,0.44139
no_CD47_block,2.5,26,0,0.44117
no_CD47_block,3.0,26,0,0.44095
no_CD47_block,3.5,26,0,0.44073
no_CD47_block,4.0,26,0,0.44051
no_CD47_block,4.5,26,0,0.44029
no_CD47_block,5.0,26,0,0.44007
no_CD47_block,5.5,27,0,0.43985
no_CD47_block,6.0,27,0,0.43963
no_CD47_block,6.5,28,0,0.43941
no_CD47_block,7.0,28,0,0.43919
no_CD47_block,7.5,28,1,0.43897
no_CD47_block,8.0,29,1,0.43875
no_CD47_block,8.5,30,1,0.43853
no_CD47_block,9.0,30,1,0.43831
no_CD47_block,9.5,30,1,0.43809
no_CD47_block,10.0,30,1,0.43787
no_CD47_block,10.5,30,1,0.43765
no_CD47_block,11.0,29,2,0.43743
no_CD47_block,11.5,28,3,0.43721
no_CD47_block,12.0,27,4,0.437
no_CD47_block,12.5,27,4,0.43678
no_CD47_block,13.0,27,4,0.43656
no_CD47_block,13.5,27,5,0.43634
no_CD47_block,14.0,25,7,0.43612
no_CD47_block,14.5,25,7,0.4359
no_CD47_block,15.0,25,7,0.43569
no_CD47_block,15.5,25,7,0.43547
no_CD47_block,16.0,26,7,0.43525
no_CD47_block,16.5,26,7,0.43503
no_CD47_block,17.0,26,8,0.43482
no_CD47_block,17.5,26,8,0.4346
